Port Number,Parameter Number,Parameter Name,Parameter Value,Parameter Value Enum,Parameter Max Value,Parameter Min Value,Parameter Default Value,Parameter Unit,Parameter Writable,Value Does Not Default
0,148,Reserved,0,,0,0,0,    ,False,False
0,149,Reserved,0,,0,0,0,    ,False,False
0,150,Digital In Cfg,0,Run Edge    ,1,0,0,    ,True,False
0,151,Reserved,0,,0,0,0,    ,False,False
0,152,Reserved,0,,0,0,0,    ,False,False
0,153,Reserved,0,,0,0,0,    ,False,False
0,154,Reserved,0,,0,0,0,    ,False,False
0,155,DI Enable,0.00,,159999.15,0.00,0.00,    ,True,False
0,156,DI Clear Fault,0.00,,159999.15,0.00,0.00,    ,True,False
0,157,DI Aux Fault,0.00,,159999.15,0.00,0.00,    ,True,False
0,158,DI Stop,0.00,,159999.15,0.00,0.00,    ,True,False
0,159,DI Cur Lmt Stop,0.00,,159999.15,0.00,0.00,    ,True,False
0,160,DI Coast Stop,0.00,,159999.15,0.00,0.00,    ,True,False
0,161,DI Start,0.00,,159999.15,0.00,0.00,    ,True,False
0,162,DI Fwd Reverse,0.00,,159999.15,0.00,0.00,    ,True,False
0,163,DI Run,0.00,,159999.15,0.00,0.00,    ,True,False
0,164,DI Run Forward,0.00,,159999.15,0.00,0.00,    ,True,False
0,165,DI Run Reverse,0.00,,159999.15,0.00,0.00,    ,True,False
0,166,DI Jog 1,0.00,,159999.15,0.00,0.00,    ,True,False
0,167,DI Jog 1 Forward,0.00,,159999.15,0.00,0.00,    ,True,False
0,168,DI Jog 1 Reverse,0.00,,159999.15,0.00,0.00,    ,True,False
0,169,DI Jog 2,0.00,,159999.15,0.00,0.00,    ,True,False
0,170,DI Jog 2 Forward,0.00,,159999.15,0.00,0.00,    ,True,False
0,171,DI Jog 2 Reverse,0.00,,159999.15,0.00,0.00,    ,True,False
0,172,DI Manual Ctrl,0.00,,159999.15,0.00,0.00,    ,True,False
0,173,DI Speed Sel 0,0.00,,159999.15,0.00,0.00,    ,True,False
0,174,DI Speed Sel 1,0.00,,159999.15,0.00,0.00,    ,True,False
0,175,DI Speed Sel 2,0.00,,159999.15,0.00,0.00,    ,True,False
0,176,DI HOA Start,0.00,,159999.15,0.00,0.00,    ,True,False
0,177,DI MOP Inc,0.00,,159999.15,0.00,0.00,    ,True,False
0,178,DI MOP Dec,0.00,,159999.15,0.00,0.00,    ,True,False
0,179,DI Accel 2,0.00,,159999.15,0.00,0.00,    ,True,False
0,180,DI Decel 2,0.00,,159999.15,0.00,0.00,    ,True,False
0,181,DI SpTqPs Sel 0,0.00,,159999.15,0.00,0.00,    ,True,False
0,182,DI SpTqPs Sel 1,0.00,,159999.15,0.00,0.00,    ,True,False
0,183,Reserved,0,,0,0,0,    ,False,False
0,184,Reserved,0,,0,0,0,    ,False,False
0,185,DI Stop Mode B,0.00,,159999.15,0.00,0.00,    ,True,False
0,186,DI BusReg Mode B,0.00,,159999.15,0.00,0.00,    ,True,False
0,187,DI PwrLoss ModeB,0.00,,159999.15,0.00,0.00,    ,True,False
0,188,DI Pwr Loss,0.00,,159999.15,0.00,0.00,    ,True,False
0,189,DI Precharge,0.00,,159999.15,0.00,0.00,    ,True,False
0,190,DI Prchrg Seal,0.00,,159999.15,0.00,0.00,    ,True,False
0,191,DI PID Enable,0.00,,159999.15,0.00,0.00,    ,True,False
0,192,DI PID Hold,0.00,,159999.15,0.00,0.00,    ,True,False
0,193,DI PID Reset,0.00,,159999.15,0.00,0.00,    ,True,False
0,194,DI PID Invert,0.00,,159999.15,0.00,0.00,    ,True,False
0,195,DI Torque StptA,0.00,,159999.15,0.00,0.00,    ,True,False
0,196,DI Fwd End Limit,0.00,,159999.15,0.00,0.00,    ,True,False
0,197,DI Fwd Dec Limit,0.00,,159999.15,0.00,0.00,    ,True,False
0,198,DI Rev End Limit,0.00,,159999.15,0.00,0.00,    ,True,False
0,199,DI Rev Dec Limit,0.00,,159999.15,0.00,0.00,    ,True,False
0,200,DI PHdwr OvrTrvl,0.00,,159999.15,0.00,0.00,    ,True,False
0,201,DI NHdwr OvrTrvl,0.00,,159999.15,0.00,0.00,    ,True,False
0,202,Reserved,0,,0,0,0,    ,False,False
0,203,Reserved,0,,0,0,0,    ,False,False
0,204,Reserved,0,,0,0,0,    ,False,False
0,205,Reserved,0,,0,0,0,    ,False,False
0,206,Reserved,0,,0,0,0,    ,False,False
0,207,Reserved,0,,0,0,0,    ,False,False
0,208,Reserved,0,,0,0,0,    ,False,False
0,209,Reserved,0,,0,0,0,    ,False,False
0,210,Reserved,0,,0,0,0,    ,False,False
0,211,Reserved,0,,0,0,0,    ,False,False
0,212,Reserved,0,,0,0,0,    ,False,False
0,213,Reserved,0,,0,0,0,    ,False,False
0,214,Reserved,0,,0,0,0,    ,False,False
0,215,Reserved,0,,0,0,0,    ,False,False
0,216,Reserved,0,,0,0,0,    ,False,False
0,217,Reserved,0,,0,0,0,    ,False,False
0,218,Reserved,0,,0,0,0,    ,False,False
0,219,Reserved,0,,0,0,0,    ,False,False
0,220,Digital In Sts,0000,Digital In 0,0001,0000,0000,    ,False,False
0,221,Reserved,0,,0,0,0,    ,False,False
0,222,Reserved,0,,0,0,0,    ,False,False
0,223,Reserved,0,,0,0,0,    ,False,False
0,224,Reserved,0,,0,0,0,    ,False,False
0,225,Reserved,0,,0,0,0,    ,False,False
0,226,Reserved,0,,0,0,0,    ,False,False
0,227,Reserved,0,,0,0,0,    ,False,False
0,228,Reserved,0,,0,0,0,    ,False,False
0,229,Reserved,0,,0,0,0,    ,False,False
0,230,Reserved,0,,0,0,0,    ,False,False
0,231,Reserved,0,,0,0,0,    ,False,False
0,232,Reserved,0,,0,0,0,    ,False,False
0,233,Reserved,0,,0,0,0,    ,False,False
0,234,Reserved,0,,0,0,0,    ,False,False
0,235,Reserved,0,,0,0,0,    ,False,False
0,236,Reserved,0,,0,0,0,    ,False,False
0,237,Reserved,0,,0,0,0,    ,False,False
0,238,Reserved,0,,0,0,0,    ,False,False
0,239,Reserved,0,,0,0,0,    ,False,False
0,240,Reserved,0,,0,0,0,    ,False,False
0,241,Reserved,0,,0,0,0,    ,False,False
0,242,Reserved,0,,0,0,0,    ,False,False
0,243,Reserved,0,,0,0,0,    ,False,False
0,244,Reserved,0,,0,0,0,    ,False,False
0,245,Reserved,0,,0,0,0,    ,False,False
0,246,Reserved,0,,0,0,0,    ,False,False
0,247,Reserved,0,,0,0,0,    ,False,False
0,248,Reserved,0,,0,0,0,    ,False,False
0,249,Reserved,0,,0,0,0,    ,False,False
0,250,Reserved,0,,0,0,0,    ,False,False
0,251,Reserved,0,,0,0,0,    ,False,False
0,252,Reserved,0,,0,0,0,    ,False,False
0,253,Reserved,0,,0,0,0,    ,False,False
0,254,Reserved,0,,0,0,0,    ,False,False
0,255,Reserved,0,,0,0,0,    ,False,False
0,256,Reserved,0,,0,0,0,    ,False,False
0,257,Reserved,0,,0,0,0,    ,False,False
0,258,Reserved,0,,0,0,0,    ,False,False
0,259,Reserved,0,,0,0,0,    ,False,False
0,260,Reserved,0,,0,0,0,    ,False,False
0,261,Reserved,0,,0,0,0,    ,False,False
0,262,Reserved,0,,0,0,0,    ,False,False
0,263,Reserved,0,,0,0,0,    ,False,False
0,264,Reserved,0,,0,0,0,    ,False,False
0,265,Reserved,0,,0,0,0,    ,False,False
0,266,Reserved,0,,0,0,0,    ,False,False
0,267,Reserved,0,,0,0,0,    ,False,False
0,268,Reserved,0,,0,0,0,    ,False,False
0,269,Reserved,0,,0,0,0,    ,False,False
0,270,Reserved,0,,0,0,0,    ,False,False
0,271,Reserved,0,,0,0,0,    ,False,False
0,272,Reserved,0,,0,0,0,    ,False,False
0,273,Reserved,0,,0,0,0,    ,False,False
0,274,Reserved,0,,0,0,0,    ,False,False
0,275,Reserved,0,,0,0,0,    ,False,False
0,276,Reserved,0,,0,0,0,    ,False,False
0,277,Reserved,0,,0,0,0,    ,False,False
0,278,Reserved,0,,0,0,0,    ,False,False
0,279,Reserved,0,,0,0,0,    ,False,False
0,280,Reserved,0,,0,0,0,    ,False,False
0,281,Reserved,0,,0,0,0,    ,False,False
0,282,Reserved,0,,0,0,0,    ,False,False
0,283,Reserved,0,,0,0,0,    ,False,False
0,284,Reserved,0,,0,0,0,    ,False,False
0,285,Reserved,0,,0,0,0,    ,False,False
0,286,Reserved,0,,0,0,0,    ,False,False
0,287,Reserved,0,,0,0,0,    ,False,False
0,288,Reserved,0,,0,0,0,    ,False,False
0,289,Reserved,0,,0,0,0,    ,False,False
0,290,Reserved,0,,0,0,0,    ,False,False
0,291,Reserved,0,,0,0,0,    ,False,False
0,292,Reserved,0,,0,0,0,    ,False,False
0,293,Reserved,0,,0,0,0,    ,False,False
0,294,Reserved,0,,0,0,0,    ,False,False
0,295,Reserved,0,,0,0,0,    ,False,False
0,296,Reserved,0,,0,0,0,    ,False,False
0,297,Reserved,0,,0,0,0,    ,False,False
0,298,Reserved,0,,0,0,0,    ,False,False
0,299,Reserved,0,,0,0,0,    ,False,False
0,300,Speed Units,0,Hz          ,1,0,0,    ,True,True
0,301,Access Level,2,Expert      ,2,0,2,    ,True,True
0,302,Language,1,English     ,11,0,1,    ,True,True
0,303,Fdbk Filter Cfg,0000,UnFltDcBus V,000F,0000,0000,    ,True,False
0,304,Reserved,0,,0,0,0,    ,False,False
0,305,Voltage Class,1,High Voltage,1,0,1,    ,True,True
0,306,Duty Rating,0,Normal Duty ,1,0,0,    ,True,True
0,307,Reserved,0,,0,0,0,    ,False,False
0,308,Direction Mode,0,Unipolar    ,2,0,0,    ,True,False
0,309,SpdTrqPsn Mode A,1,Speed Reg   ,11,0,1,    ,True,False
0,310,SpdTrqPsn Mode B,1,Speed Reg   ,11,0,1,    ,True,False
0,311,SpdTrqPsn Mode C,1,Speed Reg   ,11,0,1,    ,True,False
0,312,SpdTrqPsn Mode D,1,Speed Reg   ,11,0,1,    ,True,False
0,313,Actv SpTqPs Mode,1,Speed Reg   ,11,0,1,    ,False,False
0,314,SLAT Err Stpt,0.00,,60.00,0.00,0.00,Hz  ,True,False
0,315,SLAT Dwell Time,0.00,,2.00,0.00,0.00,Secs,True,False
0,316,Reserved,0,,0,0,0,    ,False,False
0,317,Reserved,0,,0,0,0,    ,False,False
0,318,Reserved,0,,0,0,0,    ,False,False
0,319,Reserved,0,,0,0,0,    ,False,False
0,320,Reserved,0,,0,0,0,    ,False,False
0,321,Prchrg Control,1,Enabled     ,1,0,1,    ,True,False
0,322,Prchrg Delay,0.50,,30.00,0.10,0.50,Secs,True,False
0,323,Prchrg Err Cfg,3,FltCoastStop,5,3,3,    ,True,False
0,324,Logic Mask,63FF,,7FFF,0000,63FF,    ,True,False
0,325,Auto Mask,607F,,7FFF,0000,607F,    ,True,False
0,326,Manual Cmd Mask,607F,,7FFF,0000,607F,    ,True,False
0,327,Manual Ref Mask,000F,,7FFF,0000,000F,    ,True,False
0,328,Alt Man Ref Sel,0,,159999,0,0,    ,True,False
0,329,Alt Man Ref AnHi,60.00,,60.00,-60.00,60.00,Hz  ,True,False
0,330,Alt Man Ref AnLo,0.00,,60.00,-60.00,0.00,Hz  ,True,False
0,331,Manual Preload,0000,Reserved    ,000F,0000,0000,    ,True,False
0,332,Reserved,0,,0,0,0,    ,False,False
0,333,Reserved,0,,0,0,0,    ,False,False
0,334,Reserved,0,,0,0,0,    ,False,False
0,335,Reserved,0,,0,0,0,    ,False,False
0,336,Reset Meters,0,Ready       ,2,0,0,    ,True,False
0,337,Reserved,0,,0,0,0,    ,False,False
0,338,AutoClrFlt Tries,0,,9,0,0,    ,True,False
0,339,AutoClrFlt Delay,30.0,,864000.0,0.5,30.0,Secs,True,False
0,340,AutoClrCntrDelay,300.0,,864000.0,0.1,300.0,Secs,True,False
0,341,Reserved,0,,0,0,0,    ,False,False
0,342,Reserved,0,,0,0,0,    ,False,False
0,343,Rstrt Cntr Delay,300.0,,864000.0,0.1,300.0,Secs,True,False
0,344,Reserved,0,,0,0,0,    ,False,False
0,345,Start At PowerUp,0,Disabled    ,1,0,0,    ,True,False
0,346,PowerUp Delay,0.00,,10800.00,0.00,0.00,Secs,True,False
0,347,Auto Retry Fault,0000,AttmpsExhstd,0003,0000,0000,    ,True,False
0,348,Auto Rstrt Tries,0,,9,0,0,    ,True,False
0,349,Auto Rstrt Delay,1.00,,30.00,0.50,1.00,Secs,True,False
0,350,Sleep Wake Mode,0,Disabled    ,2,0,0,    ,True,False
0,351,SleepWake RefSel,0,,159999,0,0,    ,True,False
0,352,Sleep Level,5.00,,10.00,0.00,5.00,Volt,True,False
0,353,Sleep Time,0.00,,64800.00,0.00,0.00,Secs,True,False
0,354,Wake Level,6.00,,10.00,0.00,6.00,Volt,True,False
0,355,Wake Time,0.00,,64800.00,0.00,0.00,Secs,True,False
0,356,FlyingStart Mode,0,Disabled    ,3,0,0,    ,True,False
0,357,FS Gain,1200.0,,10000.0,0.0,1200.0,    ,True,False
0,358,FS Ki,60.0,,1000.0,0.0,60.0,    ,True,False
0,359,FS Speed Reg Ki,100.0,,10000.0,0.0,100.0,    ,True,False
0,360,FS Speed Reg Kp,75.0,,100000.0,0.0,75.0,    ,True,False
0,361,FS Excitation Ki,60.0,,32767.0,0.0,60.0,    ,True,False
0,362,FS Excitation Kp,1200.0,,32767.0,0.0,1200.0,    ,True,False
0,363,FS Reconnect Dly,50.00,,10000.00,0.10,50.00,mS  ,True,False
0,364,FS Msrmnt CurLvl,44.97,,4096.00,0.00,44.97,    ,True,False
0,365,FS Brk Lvl,2.380,,6.120,0.034,2.380,Amps,True,False
0,366,FS Brk Time,0.00,,1800.00,0.00,0.00,Secs,True,False
0,367,FS ZSpd Thresh,200.0,,10000.0,0.0,200.0,    ,True,False
0,368,Reserved,0,,0,0,0,    ,False,False
0,369,Reserved,0,,0,0,0,    ,False,False
0,370,Stop Mode A,1,Ramp        ,6,0,1,    ,True,False
0,371,Stop Mode B,0,Coast       ,6,0,0,    ,True,False
0,372,Bus Reg Mode A,1,Adjust Freq ,4,0,1,    ,True,False
0,373,Bus Reg Mode B,4,Both Frq 1st,4,0,4,    ,True,False
0,374,Bus Reg Lvl Cfg,0,Bus Memory  ,1,0,0,    ,True,False
0,375,Bus Reg Level,750.076,,779.700,750.076,750.076,VDC ,True,False
0,376,Bus Limit Kp,1170.0,,1000000.0,0.0,1170.0,A/V ,True,False
0,377,Bus Limit Kd,152.0,,1000000.0,0.0,152.0,Secs,True,False
0,378,Bus Limit ACR Ki,2045.0,,50000.0,0.0,2045.0,    ,True,False
0,379,Bus Limit ACR Kp,524.0,,100000.0,0.0,524.0,Hz/A,True,False
0,380,Bus Reg Ki,100.000,,65535.000,0.000,100.000,    ,True,False
0,381,Bus Reg Kp,10.000,,65535.000,0.000,10.000,    ,True,False
0,382,DB Resistor Type,0,Internal    ,1,0,0,    ,True,False
0,383,DB Ext Ohms,31.00,,10000.00,31.00,31.00,Ohms,True,False
0,384,DB Ext Watts,100.00,,500000.00,1.00,100.00,Watt,True,False
0,385,DB ExtPulseWatts,2000.00,,100000000.00,1.00,2000.00,Watt,True,False
0,386,Reserved,0,,0,0,0,    ,False,False
0,387,Reserved,0,,0,0,0,    ,False,False
0,388,Flux Braking En,0,Disabled    ,1,0,0,    ,True,False
0,389,Flux Braking Lmt,125.00,,250.00,100.00,125.00,%   ,True,False
0,390,Flux Braking Ki,10000.0,,1000000.0,0.0,10000.0,    ,True,False
0,391,Flux Braking Kp,100.0,,1000000.0,0.0,100.0,V/A ,True,False
0,392,Stop Dwell Time,0.0,,60.0,0.0,0.0,Secs,True,False
0,393,DC Brake Lvl Sel,394,,159999,1,394,    ,True,False
0,394,DC Brake Level,3.400,,6.120,0.034,3.400,Amps,True,False
0,395,DC Brake Time,0.00,,90.00,0.00,0.00,Secs,True,False
0,396,DC Brake Ki,10.0,,1000.0,0.0,10.0,    ,True,False
0,397,DC Brake Kp,1000.0,,10000.0,0.0,1000.0,    ,True,False
0,398,DC Brk Vq Fltr,250.0,,2000.0,50.0,250.0,    ,True,False
0,399,DC Brk Vd Fltr,250.0,,2000.0,50.0,250.0,    ,True,False
0,400,Fast Braking Ki,0.10,,10.00,0.00,0.10,    ,True,False
0,401,Fast Braking Kp,0.0015,,10.0000,0.0000,0.0015,    ,True,False
0,402,Brake Off Adj 1,1.00,,5.00,0.01,1.00,    ,True,False
0,403,Brake Off Adj 2,1.00,,5.00,0.01,1.00,    ,True,False
0,404,Reserved,0,,0,0,0,    ,False,False
0,405,Reserved,0,,0,0,0,    ,False,False
0,406,Reserved,0,,0,0,0,    ,False,False
0,407,Reserved,0,,0,0,0,    ,False,False
0,408,Reserved,0,,0,0,0,    ,False,False
0,409,Dec Inhibit Actn,3,FltCoastStop,3,0,3,    ,True,False
0,410,Motor OL Actn,3,FltCoastStop,5,0,3,    ,True,False
0,411,Mtr OL at Pwr Up,0,Assume Cold ,2,0,0,    ,True,False
